,Age,Sex,Sport,TrainingTime,SleepHours,Diet,Label
871,49,1,3,4,10,1,1
872,45,0,2,2,8,2,0
873,28,0,3,1,7,4,1
874,39,0,3,2,8,1,1
875,46,0,1,1,6,3,0
876,11,0,3,4,6,3,0
877,37,1,1,2,8,4,0
878,17,1,2,1,6,3,0
879,23,0,4,1,7,3,1
880,49,0,3,1,9,4,0
881,38,0,1,3,7,4,0
882,21,1,1,4,8,4,0
883,18,1,4,4,6,3,0
884,10,0,2,2,8,2,1
885,31,1,3,3,8,4,0
886,19,0,1,2,10,1,1
887,29,1,1,1,9,1,0
888,40,0,4,3,6,4,1
889,13,0,1,4,7,4,0
890,29,1,3,4,10,3,1
891,48,1,1,1,8,4,0
892,23,0,2,4,8,3,1
893,43,0,2,4,9,3,1
894,30,0,3,4,6,3,0
895,22,1,1,3,10,4,1
896,19,1,2,1,10,1,1
897,38,0,3,2,8,4,0
898,18,1,1,2,8,2,1
899,20,0,3,1,9,2,1
900,15,1,2,2,6,3,0
901,21,1,3,1,8,2,1
902,47,1,4,1,10,2,0
903,33,1,4,2,10,1,0
904,38,1,3,4,6,1,1
905,42,0,4,3,8,4,0
906,48,0,1,2,10,3,0
907,42,1,1,3,8,4,0
908,17,1,1,4,8,3,0
909,10,1,4,3,9,1,1
910,13,1,1,4,6,1,0
911,48,1,1,2,8,3,0
912,36,0,2,3,10,4,0
913,44,1,1,4,8,1,0
914,25,1,3,4,10,4,1
915,13,0,1,3,8,1,1
916,48,1,3,4,6,1,1
917,32,1,1,2,6,4,0
918,17,1,2,4,9,2,1
919,38,1,2,1,10,3,0
920,32,0,2,2,9,2,1
921,19,0,4,1,8,4,1
922,20,1,4,4,6,2,1
923,43,1,4,2,7,2,0
924,15,1,2,4,10,4,1
925,27,0,3,4,9,1,1
926,23,1,1,3,10,3,1
927,19,1,2,1,10,3,1
928,10,0,2,1,10,3,0
929,13,1,4,2,9,1,0
930,15,1,4,2,6,2,1
931,12,1,4,2,6,1,0
932,19,1,1,2,7,1,1
933,31,1,2,2,10,2,1
934,44,1,4,1,9,1,0
935,25,0,2,1,6,4,1
936,23,0,1,1,7,4,0
937,12,1,2,1,10,2,0
938,32,0,1,2,10,1,0
939,34,1,3,2,8,1,0
940,32,0,1,2,6,4,0
941,26,0,4,2,6,4,0
942,23,1,1,3,10,3,1
943,49,0,3,3,7,3,0
944,13,0,3,4,6,1,1
945,24,0,3,3,6,1,1
946,27,0,1,1,10,1,0
947,45,0,2,1,10,4,0
948,46,1,2,2,10,1,1
949,44,1,3,2,9,2,0
950,38,0,4,1,9,2,0
951,14,0,4,1,6,1,1
952,21,1,1,1,8,2,0
953,30,1,3,3,8,3,0
954,25,0,3,2,7,1,1
955,19,0,4,1,10,1,0
956,12,0,4,1,6,3,0
957,26,1,4,1,10,1,1
958,27,1,4,3,9,1,1
959,33,0,3,4,10,1,1
960,36,1,3,1,9,1,1
961,39,1,2,2,7,1,0
962,17,1,4,1,8,2,1
963,47,1,2,1,10,1,0
964,17,1,1,1,10,1,1
965,15,1,1,4,8,4,0
966,46,0,4,1,9,2,0
967,16,1,4,2,6,4,0
968,13,0,2,4,6,4,1
969,43,1,2,4,9,2,1
970,22,0,3,4,6,2,1
971,39,0,3,1,10,2,1
972,38,1,4,1,6,2,1
973,48,1,1,2,9,1,0
974,29,0,2,2,7,2,0
975,13,0,4,1,7,1,1
976,28,1,1,2,10,2,0
977,31,1,3,3,10,2,1
978,34,0,1,2,8,1,1
979,30,1,3,4,6,1,1
980,22,1,2,3,9,3,1
981,35,1,2,2,8,4,0
982,39,0,4,3,8,4,1
983,44,1,4,4,9,4,1
984,40,0,2,1,10,1,0
985,40,0,1,4,9,1,0
986,38,0,4,3,10,1,1
987,26,1,3,3,8,4,0
988,45,0,4,3,6,4,1
989,42,1,4,2,10,3,1
990,26,0,2,2,10,3,0
991,47,1,2,4,7,2,1
992,40,0,4,2,8,4,0
993,14,1,3,4,10,2,1
994,23,1,3,4,7,2,1
995,48,0,1,3,6,2,0
996,24,1,4,3,7,1,1
997,31,1,2,3,7,3,0
998,23,0,2,1,10,3,0
999,21,1,4,4,7,1,1
