,NoDefaultNextMonth (label),isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments
2779,1,0,1,3.0,4,2940,110,0,1,0,2940,110,1,1,0
2780,0,0,1,3.0,2,40,40,2,6,0,10,40,1,1,0
2781,0,0,1,2.0,3,150,150,2,6,0,40,150,1,1,0
2782,0,0,1,2.0,3,290,240,1,4,0,270,30,1,1,0
2783,1,0,1,2.0,4,570,1000,3,6,0,0,570,1,1,0
2784,1,0,1,3.0,2,530,530,3,6,0,170,280,1,1,0
2785,0,0,0,1.0,3,340,40,0,6,0,300,40,2,3,1
2786,1,0,1,2.0,4,3960,3980,3,5,0,0,1370,2,2,1
2787,1,1,1,2.0,3,6170,140,0,0,1,6170,110,1,1,0
2788,1,0,1,3.0,3,30,30,1,6,0,20,20,1,1,0
2789,1,1,0,2.0,4,360,40,0,5,0,360,40,1,1,0
2790,1,0,0,4.0,2,990,50,0,0,0,950,50,1,1,0
2791,1,0,1,2.0,4,630,610,1,6,0,10,610,1,1,0
2792,0,1,1,2.0,4,1470,120,0,0,6,1320,120,2,9,1
2793,1,0,0,2.0,4,610,760,4,6,0,610,40,1,1,0
2794,1,0,0,2.0,4,1340,60,0,1,0,1340,60,1,1,0
2795,1,0,0,2.0,4,3720,150,0,0,0,3720,150,1,1,0
2796,1,0,0,2.0,3,2740,2740,2,5,0,60,50,1,1,0
2797,1,1,0,3.0,4,7390,290,0,0,0,7330,290,1,1,0
2798,1,0,1,3.0,3,430,60,0,6,0,310,50,2,7,1
2799,1,0,0,2.0,3,3460,270,0,0,6,3330,170,2,12,1
2800,1,0,0,2.0,4,340,300,2,6,0,170,170,1,1,0
2801,1,0,0,2.0,3,1990,110,0,0,0,1940,70,1,1,0
2802,1,0,0,2.0,4,7100,3050,0,0,0,5540,310,2,3,1
2803,1,0,0,2.0,3,4640,180,0,0,3,4330,160,1,1,0
2804,1,0,0,2.0,4,2020,150,0,2,0,2020,90,1,1,0
2805,1,0,1,3.0,2,490,490,3,6,0,170,490,1,1,0
2806,0,0,1,2.0,3,350,40,0,0,0,300,0,3,7,1
2807,0,0,1,1.0,3,2660,120,0,0,6,2650,120,2,13,1
2808,1,0,1,1.0,3,1240,920,1,6,0,500,50,1,1,0
2809,0,0,0,2.0,3,580,70,0,0,0,480,30,2,13,1
2810,1,1,1,2.0,3,1560,560,1,6,0,1560,40,1,1,0
2811,1,1,0,2.0,3,550,50,0,0,6,490,50,1,1,0
2812,1,0,1,3.0,3,1500,150,0,0,0,1290,90,1,1,0
2813,0,1,1,3.0,4,530,530,1,6,0,160,20,1,1,0
2814,1,0,0,2.0,3,0,30,1,6,0,0,0,2,2,1
2815,0,0,0,2.0,4,450,60,0,5,0,170,60,2,3,1
2816,0,0,0,2.0,4,350,350,2,6,0,250,350,1,1,0
2817,1,1,0,2.0,3,1020,90,0,0,0,880,60,2,3,1
2818,1,1,1,2.0,3,580,50,0,0,0,460,50,1,1,0
2819,1,0,1,3.0,3,1020,100,0,0,0,870,60,2,13,1
2820,1,1,1,3.0,4,2160,460,0,0,3,2160,110,1,1,0
2821,1,0,0,2.0,4,2090,90,0,0,6,2050,90,1,1,0
2822,1,1,0,3.0,2,1410,60,0,0,3,1390,60,1,1,0
2823,1,0,0,2.0,4,40,760,1,6,0,40,0,1,1,0
2824,1,0,1,2.0,4,40,40,2,6,0,20,40,1,1,0
2825,1,0,0,2.0,4,460,50,0,0,0,340,40,1,1,0
2826,1,0,1,3.0,3,220,90,1,6,0,140,60,1,1,0
2827,1,1,0,2.0,4,10,10,0,6,0,10,10,1,1,0
2828,1,0,0,2.0,3,1460,150,0,6,0,1320,150,1,1,0
2829,1,1,0,2.0,3,540,90,0,0,1,420,40,1,1,0
2830,1,0,0,2.0,3,50,30,2,6,0,0,20,2,2,1
2831,1,0,0,1.0,3,1710,390,0,0,3,1370,50,2,6,1
2832,1,0,0,1.0,3,4190,570,0,0,2,3740,570,2,5,1
2833,1,0,0,2.0,4,3390,160,0,0,0,3100,110,1,1,0
2834,1,0,0,1.0,4,20,20,2,6,0,10,20,1,1,0
2835,1,1,0,2.0,4,270,270,1,6,0,210,150,1,1,0
2836,1,1,0,1.0,3,570,570,1,3,0,100,570,1,1,0
2837,1,0,0,2.0,4,1760,1530,2,5,0,470,310,1,1,0
2838,1,1,1,3.0,4,1640,1650,3,6,0,20,50,1,1,0
2839,1,1,0,2.0,3,820,650,1,6,0,470,310,1,1,0
2840,1,0,1,2.0,2,6970,210,0,0,2,6970,190,1,1,0
2841,1,1,1,3.0,3,550,550,2,6,0,270,550,1,1,0
2842,1,0,1,2.0,4,2380,2390,1,6,0,740,250,1,1,0
2843,1,0,1,3.0,3,820,820,1,3,0,380,60,1,1,0
2844,1,1,0,3.0,2,180,30,2,6,0,180,30,1,1,0
2845,1,0,1,2.0,3,9590,460,0,1,3,9060,220,1,1,0
2846,1,0,0,3.0,4,1260,1260,3,3,0,0,1260,2,2,1
2847,1,1,0,2.0,3,5420,420,0,0,0,4170,410,1,1,0
2848,1,1,1,3.0,2,2900,130,0,0,2,2850,130,1,1,0
2849,0,1,1,3.0,4,6210,290,0,0,2,6210,0,2,4,1
2850,1,0,0,2.0,3,0,0,0,6,0,0,0,2,2,1
2851,1,1,0,2.0,4,4460,920,1,1,0,4460,170,1,1,0
2852,0,1,0,2.0,4,2120,80,0,0,6,2030,70,1,1,0
2853,1,0,0,2.0,3,40,40,2,6,0,30,40,2,3,1
2854,1,1,1,2.0,4,610,620,1,2,3,520,60,1,1,0
2855,1,1,1,2.0,4,100,30,2,6,0,100,30,3,7,1
2856,0,0,0,2.0,3,830,40,0,0,6,780,40,1,1,0
2857,0,0,1,2.0,2,1610,120,0,0,5,1470,50,2,6,1
2858,1,1,1,3.0,3,2310,150,0,0,0,2310,120,1,1,0
2859,1,1,0,2.0,4,1480,1530,3,3,0,980,310,1,1,0
2860,1,0,0,2.0,4,2280,210,0,6,0,2280,120,1,1,0
2861,0,1,1,2.0,3,15620,690,3,4,2,15240,690,1,1,0
2862,0,1,0,2.0,3,1910,1810,1,3,0,250,80,3,7,1
2863,1,1,0,2.0,4,910,260,2,6,0,910,30,2,3,1
2864,1,1,0,3.0,3,2970,560,0,3,3,1240,560,1,1,0
2865,1,1,1,3.0,4,40,40,0,6,0,40,40,1,1,0
2866,0,0,0,2.0,4,180,180,2,6,0,80,80,1,1,0
2867,1,0,1,3.0,4,390,390,3,6,0,40,390,1,1,0
2868,1,0,0,3.0,3,240,330,2,6,0,170,90,1,1,0
2869,1,1,0,2.0,3,500,150,1,6,0,500,20,2,4,1
2870,1,1,0,2.0,2,1320,10,0,0,6,1320,0,2,34,1
2871,1,0,1,3.0,3,20,0,0,6,0,20,0,1,1,0
2872,0,0,0,1.0,3,3080,130,0,0,2,3080,130,1,1,0
2873,1,0,1,3.0,3,10820,240,0,0,3,10820,240,1,1,0
2874,1,1,1,3.0,2,1540,70,0,3,2,1510,70,1,1,0
2875,1,1,1,3.0,2,3130,2030,2,4,0,3070,140,1,1,0
2876,1,0,0,1.0,3,850,770,1,0,0,780,60,1,1,0
2877,0,1,0,2.0,3,640,80,0,6,0,500,40,2,5,1
2878,1,0,0,3.0,3,1530,650,2,1,3,1530,70,1,1,0
2879,1,1,0,2.0,3,760,90,0,0,1,530,90,2,3,1
2880,0,0,1,2.0,3,860,70,0,0,5,730,70,2,13,1
2881,0,1,0,2.0,4,20,20,1,6,0,10,10,1,1,0
2882,1,1,0,2.0,4,1480,110,0,0,6,1320,50,2,3,1
2883,1,0,0,2.0,3,2130,2420,1,1,1,550,310,1,1,0
2884,1,0,0,2.0,3,1530,150,0,0,1,1530,150,1,1,0
2885,1,0,0,2.0,4,1420,130,1,5,0,1420,0,2,4,1
2886,1,0,0,2.0,4,2980,310,0,0,0,2630,130,1,1,0
2887,1,0,1,2.0,3,190,50,0,6,0,100,40,1,1,0
2888,1,1,0,1.0,4,10,50,2,6,0,0,0,2,2,1
2889,0,0,1,2.0,3,680,0,4,4,2,680,0,2,6,1
2890,1,1,0,2.0,3,1990,60,0,5,0,1990,60,1,1,0
2891,1,0,1,2.0,2,990,320,0,0,0,990,320,1,1,0
2892,1,1,1,2.0,3,4770,190,0,0,3,4770,0,2,5,1
2893,1,1,0,2.0,4,610,100,0,6,0,590,70,1,1,0
2894,1,1,1,1.0,3,1540,600,1,1,3,1450,110,1,1,0
2895,1,1,0,2.0,3,3720,2930,0,0,4,3710,0,3,7,1
2896,0,0,0,2.0,3,9050,7160,1,0,4,8820,380,1,1,0
2897,1,1,0,1.0,3,630,100,0,0,6,590,100,2,3,1
2898,0,0,0,2.0,4,2780,200,0,0,6,2680,180,2,9,1
2899,1,1,0,3.0,2,8200,350,0,0,3,8150,350,1,1,0
2900,1,0,0,2.0,3,2820,140,0,0,6,2820,140,1,1,0
2901,0,0,0,2.0,3,3190,130,1,3,3,3190,0,2,6,1
2902,1,0,0,2.0,4,4260,380,0,0,5,3860,210,1,1,0
2903,1,0,1,3.0,3,1860,70,0,0,3,1860,70,1,1,0
2904,1,1,1,3.0,3,2460,110,0,0,6,2460,90,2,3,1
2905,1,0,1,1.0,3,480,120,1,6,0,480,120,1,1,0
2906,1,0,1,2.0,3,930,40,0,1,3,930,0,2,4,1
2907,1,1,1,2.0,3,210,220,5,5,0,80,90,1,1,0
2908,1,1,0,1.0,3,1050,0,0,5,0,1050,0,1,1,0
2909,1,0,0,2.0,4,1340,570,1,6,0,1340,30,1,1,0
2910,0,0,0,1.0,4,1280,140,0,0,2,1280,50,1,1,0
2911,1,0,0,2.0,2,160,90,2,6,0,160,30,2,3,1
2912,1,0,1,2.0,3,0,0,0,6,0,0,0,2,2,1
2913,1,0,0,2.0,2,80,540,2,6,0,70,70,1,1,0
2914,1,0,1,2.0,4,1420,90,1,2,3,1420,90,1,1,0
2915,1,1,0,3.0,2,6070,6110,2,5,0,10,250,1,1,0
2916,0,1,0,2.0,4,50,50,1,6,0,20,20,2,3,1
2917,1,0,1,3.0,2,1550,120,0,0,0,1450,70,2,11,1
2918,1,0,1,2.0,3,5290,200,0,0,3,5260,200,1,1,0
2919,1,0,1,2.0,3,860,90,0,1,0,780,50,1,1,0
2920,1,1,1,3.0,2,1500,100,0,0,1,1500,40,1,1,0
2921,0,1,1,3.0,3,90,180,3,6,0,80,10,1,1,0
2922,1,0,0,2.0,3,3090,170,0,0,0,2640,120,2,5,1
2923,1,1,1,3.0,3,5960,250,0,2,0,5960,240,1,1,0
2924,1,0,1,2.0,2,2700,120,0,2,0,2350,120,1,1,0
2925,1,0,0,2.0,4,920,150,0,0,0,920,150,1,1,0
2926,1,0,1,3.0,3,690,3720,2,6,0,690,220,2,2,1
2927,1,0,1,1.0,3,10,0,0,6,0,0,0,2,13,1
2928,1,1,1,2.0,4,700,700,4,6,0,170,110,1,1,0
2929,1,0,1,3.0,2,100,100,1,6,0,60,0,1,1,0
2930,0,1,0,2.0,2,1040,10,0,5,0,1040,10,1,1,0
2931,1,1,0,2.0,4,2350,550,0,5,0,2350,130,1,1,0
2932,1,0,0,2.0,4,60,60,1,6,0,10,10,1,1,0
2933,1,1,0,2.0,4,280,280,2,6,0,100,60,1,1,0
2934,1,1,0,2.0,4,1540,90,0,3,1,1540,50,1,1,0
2935,1,1,1,3.0,3,20,20,1,6,0,0,0,2,2,1
2936,1,0,0,2.0,4,180,180,2,6,0,110,60,1,1,0
2937,1,0,0,2.0,4,870,870,4,6,0,100,180,1,1,0
2938,1,0,0,3.0,3,2440,2470,2,5,0,150,30,1,1,0
2939,1,1,0,2.0,3,1020,60,0,3,0,1020,50,1,1,0
2940,1,1,0,2.0,2,50,50,2,6,0,50,30,1,1,0
2941,0,1,1,3.0,3,1070,60,0,0,0,880,60,1,1,0
2942,1,1,1,3.0,3,990,380,0,5,0,630,220,1,1,0
2943,1,0,1,2.0,2,790,760,1,2,0,120,50,1,1,0
2944,0,0,1,3.0,2,1030,90,0,0,0,930,0,3,8,1
2945,0,0,1,2.0,4,120,10,1,6,0,120,0,1,1,0
2946,1,0,1,3.0,2,2880,270,0,0,0,2770,130,1,1,0
2947,0,1,1,2.0,3,210,80,2,6,0,210,30,2,3,1
2948,0,0,1,2.0,3,680,1380,2,5,0,10,10,1,1,0
2949,0,0,1,2.0,3,5320,210,0,0,1,5320,0,2,5,1
2950,1,0,0,2.0,3,940,320,1,3,0,30,0,2,3,1
2951,0,0,1,2.0,3,740,90,0,0,0,640,90,2,3,1
2952,1,0,0,2.0,4,2150,7110,5,5,0,40,50,1,1,0
2953,1,1,0,2.0,2,4670,2010,2,3,0,4670,2010,1,1,0
2954,0,1,1,3.0,2,220,0,0,3,0,220,0,2,12,1
2955,0,1,1,3.0,4,1360,60,0,0,5,1200,50,2,3,1
2956,1,1,0,2.0,4,6000,270,0,0,6,5680,0,2,5,1
2957,1,0,0,2.0,4,1110,1150,1,6,0,350,50,1,1,0
2958,1,1,1,3.0,4,4850,240,0,0,6,4780,220,1,1,0
2959,1,0,1,1.0,3,170,50,0,0,0,120,0,2,12,1
2960,1,1,0,2.0,3,520,40,0,1,4,460,40,1,1,0
2961,0,1,0,2.0,2,780,70,0,0,3,690,70,3,9,1
2962,1,0,0,2.0,3,2880,230,0,0,0,2620,120,2,3,1
2963,1,0,1,3.0,3,3740,350,0,0,0,3550,350,2,3,1
2964,1,1,0,2.0,3,840,50,0,0,0,710,50,1,1,0
2965,1,0,0,2.0,4,40,40,3,6,0,20,30,1,1,0
2966,1,1,0,2.0,4,1230,1230,4,5,0,230,740,1,1,0
2967,0,1,1,2.0,4,1350,1370,3,6,0,500,30,1,1,0
2968,1,1,0,1.0,4,610,50,0,0,6,550,40,1,1,0
2969,0,1,0,2.0,2,930,50,0,4,2,930,50,1,1,0
2970,1,1,1,2.0,4,370,120,0,0,0,190,60,3,9,1
2971,0,0,0,3.0,2,2080,90,0,0,0,1890,90,2,3,1
2972,0,1,1,3.0,2,760,140,0,0,1,570,140,2,7,1
2973,1,0,0,2.0,4,480,290,0,6,0,480,40,1,1,0
2974,1,0,0,2.0,3,410,70,0,0,0,240,40,2,4,1
2975,0,0,1,2.0,2,1900,140,0,0,0,1630,90,2,13,1
2976,0,0,1,2.0,2,4240,640,0,0,6,3110,510,3,5,1
2977,1,1,1,3.0,3,0,590,1,6,0,0,0,1,1,0
2978,0,1,1,2.0,4,840,150,0,6,0,570,90,2,3,1
2979,1,0,1,2.0,3,2450,90,0,0,3,2450,90,1,1,0
2980,1,0,1,3.0,2,1540,210,0,0,0,1350,60,1,1,0
2981,1,0,0,2.0,3,1130,980,1,6,0,50,980,1,1,0
2982,1,1,1,2.0,4,1590,1590,2,4,0,980,120,1,1,0
2983,1,1,0,1.0,3,390,250,0,0,0,250,60,2,3,1
2984,1,1,0,2.0,2,60,60,1,6,0,30,20,1,1,0
2985,1,0,0,3.0,3,40,40,1,6,0,30,0,2,15,1
2986,1,1,1,2.0,3,3120,3120,4,5,0,170,190,1,1,0
2987,1,1,1,2.0,4,10,10,1,6,0,0,10,2,2,1
2988,1,1,0,2.0,4,2080,2080,2,5,0,10,10,1,1,0
2989,1,1,0,2.0,4,9410,400,0,0,6,9020,400,1,1,0
2990,1,1,1,2.0,3,340,340,2,6,0,60,340,1,1,0
2991,1,1,0,2.0,4,5740,460,0,0,6,5230,400,1,1,0
2992,0,1,1,2.0,4,1080,90,0,0,0,920,60,3,7,1
2993,1,1,0,2.0,3,720,40,0,0,0,720,40,1,1,0
2994,1,1,1,2.0,3,120,310,4,6,0,0,0,1,1,0
2995,0,0,1,3.0,4,1480,110,0,0,0,1380,50,3,9,1
2996,1,1,1,3.0,4,1590,1590,2,6,0,140,1590,1,1,0
2997,1,1,1,2.0,4,10,10,0,6,0,10,10,1,1,0
2998,1,0,1,3.0,3,9580,720,0,0,6,8850,0,2,12,1
2999,1,0,0,2.0,4,230,80,1,6,0,230,0,1,1,0
3000,1,0,1,2.0,4,11970,490,0,0,2,11730,460,1,1,0
3001,1,1,0,2.0,3,90,90,2,6,0,60,90,2,3,1
3002,1,1,0,2.0,3,1250,2050,1,4,0,770,250,1,1,0
3003,1,1,0,2.0,1,12440,2320,0,0,4,12440,0,2,4,1
3004,1,1,1,3.0,4,130,190,5,6,0,0,10,2,2,1
3005,1,1,1,2.0,3,20,20,1,6,0,10,10,1,1,0
3006,0,1,1,4.0,4,140,140,3,6,0,0,40,2,2,1
3007,1,0,0,3.0,4,10,0,0,6,0,10,0,1,1,0
3008,1,1,0,3.0,3,910,70,0,0,6,900,50,1,1,0
3009,1,1,1,2.0,3,690,690,2,5,0,140,690,1,1,0
3010,1,1,0,2.0,4,770,130,0,6,0,750,50,1,1,0
3011,0,0,1,3.0,2,4510,170,0,0,6,4320,170,1,1,0
3012,1,1,0,2.0,4,1240,80,0,0,0,1200,60,2,3,1
3013,1,1,0,2.0,3,420,60,0,6,0,310,40,1,1,0
3014,1,1,0,2.0,2,1510,180,0,0,6,1330,60,3,8,1
3015,1,0,1,3.0,3,2830,110,0,0,0,2730,100,1,1,0
3016,0,1,0,2.0,4,150,30,0,6,0,110,30,2,9,1
3017,1,1,0,2.0,2,50,50,4,6,0,0,30,2,2,1
3018,0,0,1,2.0,4,30,30,1,6,0,0,30,1,1,0
3019,1,0,1,1.0,3,2960,1910,1,1,0,2960,310,1,1,0
3020,1,1,0,2.0,2,940,60,0,0,6,940,0,2,4,1
3021,1,0,1,2.0,2,2280,2240,2,6,0,1570,2240,1,1,0
3022,0,0,0,2.0,4,3370,320,0,0,0,3030,200,2,3,1
3023,1,1,1,3.0,3,470,470,1,6,0,160,470,1,1,0
3024,0,1,0,2.0,4,10,2930,1,6,0,10,10,1,1,0
3025,1,1,0,2.0,2,1130,70,0,2,0,1130,0,2,5,1
3026,1,0,0,2.0,4,490,150,0,6,0,490,0,3,8,1
3027,0,1,0,1.0,2,1480,70,0,4,2,1480,70,1,1,0
3028,0,1,1,3.0,3,890,890,2,6,0,120,20,1,1,0
3029,1,0,0,2.0,4,1090,110,0,6,0,1090,50,1,1,0
3030,1,0,1,2.0,2,40,40,3,6,0,10,0,1,1,0
3031,1,0,1,2.0,2,1450,120,0,0,3,1310,90,1,1,0
3032,1,0,1,2.0,3,3110,310,1,1,0,3110,150,1,1,0
3033,1,0,0,2.0,4,1470,460,0,0,0,1330,90,1,1,0
3034,1,1,0,2.0,4,340,340,3,6,0,190,340,1,1,0
3035,1,0,1,3.0,2,10,330,1,6,0,10,10,1,1,0
3036,1,1,0,2.0,2,1930,150,0,0,0,1690,60,1,1,0
3037,1,0,0,1.0,3,10,0,0,6,0,10,0,2,33,1
3038,1,1,0,2.0,3,660,660,2,6,0,10,0,3,9,1
3039,1,0,0,2.0,2,0,0,0,6,0,0,0,2,2,1
3040,1,1,0,2.0,3,940,610,1,6,0,910,610,1,1,0
3041,1,1,1,2.0,3,1540,60,0,0,2,1540,60,1,1,0
3042,1,0,1,3.0,3,1640,150,0,6,0,1520,150,1,1,0
3043,1,1,0,2.0,3,910,120,0,0,0,720,100,2,5,1
3044,1,0,0,2.0,4,7950,980,0,0,6,6610,310,2,13,1
3045,0,0,1,3.0,4,60,40,0,6,0,60,40,1,1,0
3046,1,0,1,2.0,4,50,50,2,6,0,10,30,1,1,0
3047,1,1,0,2.0,4,860,310,0,0,0,630,310,1,1,0
3048,1,0,1,2.0,4,900,900,4,6,0,120,200,1,1,0
3049,1,0,1,3.0,2,1200,50,0,3,0,1180,50,1,1,0
3050,1,1,1,2.0,4,730,400,0,6,0,470,400,1,1,0
3051,0,0,1,3.0,2,610,430,1,6,0,560,80,1,1,0
3052,1,1,0,2.0,3,60,60,3,6,0,50,50,1,1,0
3053,1,0,0,3.0,3,8970,3050,0,2,1,4830,1530,1,1,0
3054,0,0,0,2.0,4,510,550,3,6,0,470,550,2,2,1
3055,1,1,1,3.0,4,7360,310,0,3,0,7360,310,1,1,0
3056,1,0,1,2.0,3,4500,4640,1,1,0,0,4640,1,1,0
3057,1,0,1,2.0,3,1190,1190,3,6,0,1120,570,1,1,0
3058,1,0,1,2.0,4,4070,310,0,0,0,3930,310,1,1,0
3059,1,1,0,2.0,3,7250,320,0,0,3,7170,320,1,1,0
3060,1,1,1,3.0,2,2200,2200,2,6,0,1130,40,2,3,1
3061,1,1,1,2.0,3,2490,460,0,0,3,2490,120,1,1,0
3062,1,1,1,3.0,2,2070,180,0,0,3,2070,80,1,1,0
3063,1,1,0,3.0,4,1770,150,0,6,0,1770,70,1,1,0
3064,1,0,1,3.0,4,6600,230,0,0,6,6380,230,1,1,0
3065,1,0,1,2.0,4,160,160,1,6,0,100,100,1,1,0
3066,1,1,1,3.0,3,300,310,1,6,0,220,0,3,5,1
3067,1,0,0,2.0,3,890,150,0,0,3,750,150,1,1,0
3068,1,0,0,2.0,4,3460,130,0,0,6,3460,130,1,1,0
3069,1,0,1,3.0,3,1820,90,0,0,3,1740,90,1,1,0
3070,1,1,0,2.0,4,2350,1910,4,3,0,2350,350,1,1,0
3071,1,1,1,2.0,3,3340,120,0,0,3,3340,120,1,1,0
3072,1,1,1,3.0,2,7940,4140,0,0,3,7880,220,1,1,0
3073,1,0,0,2.0,4,4980,210,0,0,0,4810,200,1,1,0
3074,1,1,0,2.0,4,60,70,2,6,0,10,30,1,1,0
3075,1,0,1,2.0,3,1110,1010,1,1,0,180,1010,1,1,0
3076,1,0,0,2.0,4,2300,460,0,2,0,2300,60,1,1,0
3077,1,0,0,2.0,3,2390,90,0,0,0,2280,0,2,5,1
3078,1,1,1,3.0,3,300,300,2,6,0,290,290,1,1,0
3079,1,0,0,2.0,3,4530,210,0,0,6,4530,0,2,4,1
3080,1,1,0,2.0,4,3280,260,0,0,0,2870,110,2,5,1
3081,1,0,0,2.0,3,3750,310,0,0,0,3750,310,1,1,0
3082,1,0,0,1.0,4,1530,1530,2,3,0,150,50,1,1,0
3083,0,1,1,3.0,3,3320,1240,1,0,4,3220,150,1,1,0
3084,0,0,1,2.0,3,990,990,2,6,0,700,990,1,1,0
3085,1,0,0,2.0,4,890,220,1,6,0,380,210,1,1,0
3086,1,0,0,2.0,4,3120,150,0,0,6,2940,150,1,1,0
3087,1,1,0,2.0,4,610,240,0,0,5,530,80,1,1,0
3088,1,1,0,2.0,3,3920,150,0,0,2,3920,150,1,1,0
3089,1,1,0,3.0,2,50,50,2,6,0,10,50,1,1,0
3090,1,1,0,2.0,3,2360,60,0,0,1,2360,60,1,1,0
3091,0,0,0,3.0,3,600,90,0,0,6,570,0,2,8,1
3092,1,0,0,1.0,3,0,10,1,6,0,0,0,1,1,0
3093,1,0,1,3.0,4,5060,2440,0,0,3,5060,2440,1,1,0
3094,0,0,1,3.0,3,1700,130,0,0,0,1530,60,2,13,1
3095,1,0,1,3.0,2,1370,1370,4,5,0,110,230,1,1,0
3096,1,1,0,2.0,3,790,40,0,0,4,680,40,1,1,0
3097,1,1,0,2.0,4,440,440,3,5,0,80,440,1,1,0
3098,0,0,0,1.0,3,50,50,2,6,0,10,50,1,1,0
3099,1,0,0,2.0,4,7050,610,0,0,4,7050,310,1,1,0
3100,1,0,1,2.0,4,1530,1260,3,6,0,1530,540,1,1,0
3101,0,0,0,3.0,2,0,0,0,6,0,0,0,1,1,0
3102,1,1,1,3.0,2,5150,2350,1,0,3,5150,0,2,5,1
3103,1,0,0,2.0,4,6100,2750,0,1,0,2720,180,1,1,0
3104,0,0,0,2.0,3,610,50,0,1,4,590,50,2,3,1
3105,1,1,0,2.0,3,50,50,2,6,0,0,50,3,4,1
3106,1,0,1,2.0,4,30,30,1,6,0,30,10,1,1,0
3107,0,0,1,2.0,3,980,60,0,0,0,910,50,2,11,1
3108,1,0,0,2.0,4,1350,920,1,0,1,820,920,1,1,0
3109,1,0,1,3.0,2,4010,180,0,0,3,3470,150,1,1,0
3110,1,1,1,3.0,3,140,140,2,6,0,50,50,1,1,0
3111,1,1,0,2.0,4,7680,290,0,0,2,7680,290,1,1,0
3112,1,0,1,2.0,2,130,130,0,6,0,100,30,1,1,0
3113,0,0,0,2.0,4,580,580,2,6,0,0,0,2,2,1
3114,1,0,1,3.0,3,0,0,0,6,0,0,0,2,2,1
3115,1,1,0,2.0,4,400,60,0,5,0,400,40,2,3,1
3116,1,0,0,2.0,4,0,0,0,6,0,0,0,1,1,0
3117,0,0,0,2.0,4,80,80,3,6,0,0,50,2,2,1
3118,1,1,0,2.0,3,610,590,1,2,4,90,40,1,1,0
3119,1,0,1,3.0,2,1500,60,0,3,3,1490,60,1,1,0
3120,0,0,0,1.0,4,410,60,0,0,0,320,0,2,8,1
3121,0,1,1,2.0,3,2760,150,0,0,3,2760,120,1,1,0
3122,1,1,1,2.0,3,5580,5790,1,0,0,5400,310,1,1,0
3123,1,1,0,1.0,3,630,60,0,0,6,550,0,3,5,1
3124,1,0,0,1.0,3,1400,390,1,5,0,1400,280,1,1,0
3125,1,1,0,2.0,3,6540,310,0,0,0,6540,310,1,1,0
3126,1,1,0,2.0,3,40,20,0,6,0,40,20,1,1,0
3127,1,0,0,2.0,3,1430,60,0,0,0,1430,60,1,1,0
3128,0,1,0,1.0,4,310,60,0,0,5,230,50,3,5,1
3129,1,0,1,2.0,3,410,770,2,6,0,350,300,1,1,0
3130,1,0,1,3.0,4,650,650,3,5,0,490,130,2,3,1
3131,1,0,1,3.0,2,380,380,3,6,0,340,380,1,1,0
3132,1,1,1,3.0,2,90,90,2,6,0,80,40,1,1,0
3133,1,1,1,3.0,2,6280,15180,1,1,0,6130,270,1,1,0
3134,1,0,0,1.0,3,310,310,1,4,0,30,310,1,1,0
3135,0,1,0,2.0,4,60,30,0,6,0,40,30,2,5,1
3136,1,1,0,2.0,3,1480,120,0,0,0,1420,0,2,9,1
3137,0,1,1,3.0,4,0,0,0,6,0,0,0,2,2,1
3138,1,0,0,2.0,4,230,230,3,6,0,20,140,1,1,0
3139,1,0,0,1.0,3,90,40,0,6,0,40,30,1,1,0
3140,1,0,0,2.0,1,740,70,1,6,0,690,70,2,3,1
3141,0,0,0,1.0,3,610,50,0,0,0,530,0,3,8,1
3142,1,0,0,2.0,4,1300,80,0,4,0,1300,70,1,1,0
3143,1,1,1,2.0,2,430,90,0,6,0,430,80,1,1,0
3144,0,0,0,2.0,4,180,50,0,1,0,110,40,2,8,1
3145,1,1,0,2.0,2,370,70,0,0,0,240,40,2,5,1
3146,1,1,0,2.0,4,370,370,3,4,0,350,370,1,1,0
3147,1,1,0,2.0,4,310,140,0,0,5,260,50,1,1,0
3148,1,1,0,1.0,3,620,150,0,0,5,480,140,2,3,1
3149,0,1,0,2.0,3,4550,150,0,0,1,4550,140,2,2,1
3150,0,0,1,2.0,3,1870,170,0,0,6,1850,170,2,3,1
3151,0,1,1,2.0,4,320,60,0,0,0,210,60,2,10,1
3152,1,0,0,2.0,4,2170,100,0,0,3,2170,100,1,1,0
3153,1,0,1,2.0,3,1480,150,1,1,2,1480,50,1,1,0
3154,1,1,0,2.0,4,3520,3540,2,5,0,100,80,1,1,0
3155,0,1,0,2.0,4,30,90,3,6,0,0,0,2,2,1
3156,1,0,1,2.0,4,170,180,3,6,0,100,180,1,1,0
3157,1,1,0,2.0,4,840,840,3,6,0,400,20,1,1,0
3158,1,0,1,1.0,3,2210,80,0,0,2,2210,80,1,1,0
3159,1,0,0,2.0,4,390,190,1,6,0,390,150,1,1,0
3160,1,1,0,2.0,2,7270,870,0,0,6,6530,310,2,13,1
3161,1,0,1,3.0,2,0,0,0,6,0,0,0,2,2,1
